id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct;height;weight
1;Lola;Rogahn;Lily.Kihn75@yahoo.com;repurpose withdrawal;2022-08-04T14:07:08;71697;45464;15435;64912
2;Betsy;Langosh;Frances64@gmail.com;California silver;2022-08-04T18:23:39;783;27282;58937;26945
3;Branson;Botsford;Sterling_Rau59@yahoo.com;backing;2022-08-04T08:24:46;48992;47489;37739;18713
4;Otilia;Hintz;Antonina_Turner@gmail.com;synergy Albania;2022-08-04T07:17:45;80529;94809;56135;12636
5;Jensen;Kiehn;Brian11@gmail.com;open-source;2022-08-04T15:51:34;73893;65341;53478;44379
6;Freeda;Harris;Tremaine.Ruecker@hotmail.com;Soap;2022-08-03T21:23:58;15970;72993;41375;25912
7;Chandler;Wehner;Zaria_Lebsack@yahoo.com;lavender Plastic;2022-08-04T18:11:04;52896;63673;50881;96170
8;Keith;Frami;Antonio67@gmail.com;North bluetooth Bike;2022-08-04T15:56:09;43323;90189;81327;601
9;Name;Dibbert;Dagmar_Farrell4@gmail.com;Mandatory Alaska;2022-08-04T06:03:23;9465;5509;90533;32637
10;Asa;Cummerata;Dasia.OHara@yahoo.com;deposit;2022-08-04T05:17:58;93711;52100;16882;29075
